reply_to_status_id,sentiment_score,parent_sentiment,agreement_score
x1013092310555545602,0.42115,,
x1023186313347059712,0.6369,,
x1068421174898524160,-0.29600000000000004,,
x1068766655910764545,0.2714,,
x1070714487949414400,0.6209,,
x1070934683939033088,0.0,,
x1071213649916649472,0.6162,,
x1071777755149295619,0.4912,,
x1071791720646537219,0.0,,
x1071873485406920704,0.48945000000000005,,
x1071936672328179712,0.34,,
x1071940116166443010,0.0,,
x1071970258121043970,0.0516,-0.765,-0.7134
x1071972775059996672,-0.4767,-0.3612,-0.8379000000000001
x1071990390474067968,-0.6369,-0.2263,-0.8632
x1071996681544232960,0.0,-0.6597,-0.6597
x1072002976196280321,0.0,0.0,0.0
x1072013044438450176,-0.1951,0.0772,-0.11789999999999999
x1072014298057195520,-0.3182,0.1531,-0.16509999999999997
x1072016814555742210,0.0,-0.34,-0.34
x1072045793195028480,0.5719,0.5023,1.0741999999999998
x1072048274528440320,0.10115,-0.6908,-0.58965
x1072055823927517184,-0.4019,-0.0772,-0.47909999999999997
x1072060942899388416,0.0,-0.7096,-0.7096
x1072101123694182400,-0.2732,0.4019,0.12869999999999998
x1072103636216504320,-0.5574,0.3612,-0.19619999999999999
x1072106266586202112,0.2406,-0.0772,0.1634
x1072107411584966656,0.0656666666666667,-0.34,-0.2743333333333333
x1072108670660608007,-0.45765,-0.8625,-1.32015
x1072111194285191170,-0.1468,0.0,-0.1468
x1072114324028571648,-0.1027,-0.5719,-0.6746
x1072126297546072070,-0.029680000000000005,-0.4767,-0.50638
x1072189436966903814,0.0,0.0,0.0
x1072194234822873090,-0.14386666666666667,-0.1695,-0.3133666666666667
x1072196934469865472,0.0,0.4767,0.4767
x1072209343871901696,0.8402,-0.6249,0.21529999999999994
x1072211948778020865,0.29600000000000004,0.0,0.29600000000000004
x1072229468297662464,-0.6872,0.0516,-0.6356
x1072242168159502337,-0.6908,0.0,-0.6908
x1072254638953586688,-0.44805,0.0,-0.44805
x1072259679546433536,-0.0258,-0.4767,-0.5025000000000001
x1072269743007195136,0.0,0.0,0.0
x1072274767426846721,0.0,0.1779,0.1779
x1072277283354931200,0.0,0.0516,0.0516
x1072282321313771520,0.22988749999999997,0.4404,0.6702874999999999
x1072284830237409280,0.7269,-0.3818,0.3451
x1072297415376601088,-0.5267,0.0,-0.5267
x1072303192380198912,-0.8481,0.4926,-0.3555
x1072303248537804806,-0.1027,-0.8481,-0.9508
x1072303288773681152,0.0,-0.1027,-0.1027
x1072303335825436672,0.5445500000000001,0.0,0.5445500000000001
x1072303372542328833,-0.5859,0.4767,-0.10919999999999996
x1072332676634501120,-0.0772,0.0,-0.0772
x1072337680065851392,0.3612,-0.5267,-0.16549999999999992
x1072342714316963840,0.9074,0.2302,1.1376
x1072349003294171136,0.8537,0.7170000000000001,1.5707
x1072360328607006721,-0.1531,-0.8176,-0.9707
x1072377963570712576,0.0,0.0,0.0
x1072385527951831041,0.2484,0.0,0.2484
x1072393059734880256,0.6369,0.4404,1.0773000000000001
x1072400769234731008,0.0,0.0,0.0
x1072403114072915969,0.2732,0.0,0.2732
x1072423341284356100,0.1635,-0.8225,-0.659
x1072428276835123200,0.6597,0.0,0.6597
x1072443377772318721,0.2202,0.0,0.2202
x1072455971136512006,0.0,0.0,0.0
x1072461129425797120,0.4404,0.0,0.4404
x1072483722052726786,0.3612,-0.7964,-0.4352
x1072488677840953344,-0.6486,0.0,-0.6486
x1072488734187110400,0.3541,0.6366,0.9907000000000001
x1072493708635975680,-0.03893333333333333,0.0,-0.03893333333333333
x1072501258395795457,0.6597,-0.2732,0.38649999999999995
x1072523934581579776,-0.4939,0.4019,-0.09200000000000003
x1072525164213092352,-0.18660000000000002,0.1027,-0.08390000000000002
x1072526452476776448,-0.8481,-0.1027,-0.9508
x1072531477236248578,0.4360249999999999,0.4767,0.9127249999999999
x1072550330187956225,-0.29600000000000004,0.6366,0.3406
x1072554132442107904,0.5176666666666666,-0.5994,-0.08173333333333344
